SerialNumber,UnitName,ItemDescription,ReferenceId,Unit ActivationDate UTC,"Unit ActivationDate ((UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna)",Timestamp UTC,"Timestamp ((UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna)",PositionType,Latitude,Longitude,Accuracy(m),City,Temperature(°C),TemperatureMin(°C),TemperatureMax(°C),AccelerationX(g),AccelerationY(g),AccelerationZ(g),PeakAccelerationTime,"PeakAccelerationTime ((UTC+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm, Vienna)",PeakAccelerationX(g),PeakAccelerationY(g),PeakAccelerationZ(g),PeakAccelerationVector(g),AccelerationXMin(g),AccelerationYMin(g),AccelerationZMin(g),AccelerationXMax(g),AccelerationYMax(g),AccelerationZMax(g),LightLevel,LightLevelMin,LightLevelMax,Triggers,TotalOnTimerMotion,TotalRotation,GPS Speed(Km/h),GPS Altitude(m),Humidity%,HumidityMin%,HumidityMax%,Pressure(Pa),PressureMin(Pa),PressureMax(Pa),Tag1_Serialnumber,Tag1_Humidity,Tag1_Temperature,Tag1_DewPoint,Tag2_Serialnumber,Tag2_Humidity,Tag2_Temperature,Tag2_DewPoint,Tag3_Serialnumber,Tag3_Humidity,Tag3_Temperature,Tag3_DewPoint,Tag4_Serialnumber,Tag4_Humidity,Tag4_Temperature,Tag4_DewPoint,Tag5_Serialnumber,Tag5_Humidity,Tag5_Temperature,Tag5_DewPoint,Tag6_Serialnumber,Tag6_Humidity,Tag6_Temperature,Tag6_DewPoint,Tag7_Serialnumber,Tag7_Humidity,Tag7_Temperature,Tag7_DewPoint,Tag8_Serialnumber,Tag8_Humidity,Tag8_Temperature,Tag8_DewPoint,Input0,Input1,Input2,Input3,Load0,Load1,MinInput0,MinInput1,MinInput2,MinInput3,MinLoad0,MinLoad1,MaxInput0,MaxInput1,MaxInput2,MaxInput3,MaxLoad0,MaxLoad1,InputTrigger
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-13 13:01:11,2022-04-13 15:01:11,GPS,55.71634,12.56132,8,,24,22.5,24,-0.028,-0.001,0.976,,,,,,,,,,,,,1392,844,1418,"Wakeup, Distance",172616,,2.38,8.5,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-13 07:01:01,2022-04-13 09:01:01,GPS,55.7160366666667,12.56136,9,,23.4,22,23.5,-0.032,-0.002,0.979,,,,,,,,,,,,,870,0,889,"Wakeup, Distance",172616,,0.88,-11,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-13 03:01:49,2022-04-13 05:01:49,GPS,55.7164783333333,12.5602283333333,12,,23,22.2,24.6,-0.04,0.017,0.973,,,,,,,,,,,,,0,0,1121,"Wakeup, Distance",172614,,1.31,76.4,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-12 15:01:01,2022-04-12 17:01:01,GPS,55.7161883333333,12.5613183333333,5,,23.2,22.2,23.5,-0.035,-0.002,0.977,,,,,,,,,,,,,638,527,723,"Wakeup, Distance",172609,,0.94,21.7,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-12 13:01:12,2022-04-12 15:01:12,GPS,55.7165133333333,12.5613666666667,8,,23.2,21.6,23.3,-0.033,0.003,0.971,,,,,,,,,,,,,532,0,715,"Wakeup, Distance",172609,,1.68,42.2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-12 07:01:10,2022-04-12 09:01:10,GPS,55.7160416666667,12.561405,8,,22.4,21.5,22.6,-0.037,0.002,0.978,,,,,,,,,,,,,0,0,0,"Wakeup, Distance",172609,,0.48,8.2,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-12 03:01:01,2022-04-12 05:01:01,GPS,55.7161616666667,12.5611466666667,11,,22.4,21.5,23.2,-0.032,0,0.974,,,,,,,,,,,,,0,0,221,"Wakeup, Distance",172609,,0.16,24.9,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-11 15:01:35,2022-04-11 17:01:35,GPS,55.7162683333333,12.5612383333333,6,,22.8,21.7,23,-0.029,0,0.974,,,,,,,,,,,,,49,12,428,"Wakeup, Distance",172607,,0.55,20.6,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-11 13:01:29,2022-04-11 15:01:29,GPS,55.7160016666667,12.5613316666667,8,,22.7,6.9,23.2,-0.033,0,0.975,,,,,,,,,,,,,370,0,1458,"Wakeup, Distance",172601,,0.4,-10.1,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860640050244062,Stenpikkere 860640050244062,860640050244062,,2022-01-26 13:22:59,2022-01-26 14:22:59,2022-04-11 07:01:01,2022-04-11 09:01:01,GPS,55.6708716666667,12.51203,6,,17.2,16,17.5,-0.033,0.004,0.978,,,,,,,,,,,,,94,0,109,"Wakeup, Distance",170721,,0.48,9.9,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
